,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
0,Patrick van Aanholt,36,3,2,3,0,1564,1971,45,11,20.7,0,48,40,33,2300,42,22,1051,1335,2018-2019
1,Sergio Agüero,33,21,8,4,0,661,796,116,41,15.0,3,17,9,15,1119,73,45,824,896,2018-2019
2,Nathan Aké,38,4,0,3,0,1491,1733,25,8,9.4,0,66,35,51,2205,5,3,1299,1307,2018-2019
3,Marc Albrighton,27,2,2,3,0,448,776,19,7,21.4,0,35,31,26,1005,55,20,633,656,2018-2019
4,Toby Alderweireld,34,0,0,3,0,2097,2382,19,5,14.1,0,37,22,41,2690,2,1,1848,1922,2018-2019
5,Trent Alexander-Arnold,29,1,12,3,0,1644,2236,29,9,25.1,9,61,68,19,2514,27,14,1416,1538,2018-2019
6,Alisson,38,0,0,1,0,1075,1290,0,0,,0,2,2,0,1347,2,2,838,675,2018-2019
7,Dele Alli,25,5,3,4,0,836,1056,39,19,14.4,0,33,24,33,1320,54,29,857,948,2018-2019
8,Miguel Almirón,10,0,0,0,0,188,263,19,8,20.1,0,20,10,14,380,14,7,215,240,2018-2019
9,Marcos Alonso,31,2,4,6,0,1862,2255,45,7,19.2,8,73,58,25,2631,33,17,1446,1681,2018-2019
10,Daniel Amartey,9,0,0,2,0,357,435,4,1,19.4,0,18,15,6,518,4,2,293,276,2018-2019
11,Luke Amos,1,0,0,0,0,1,3,0,0,,0,1,0,0,4,0,0,0,0,2018-2019
12,Felipe Anderson,36,9,4,3,0,1325,1824,58,24,18.7,5,89,101,71,2319,156,76,1397,1622,2018-2019
13,Florin Andone,23,3,0,5,0,113,170,19,8,12.3,0,10,6,9,345,37,9,210,237,2018-2019
14,Michail Antonio,33,6,4,3,0,496,773,65,25,16.2,0,23,12,38,1170,104,58,683,823,2018-2019
15,Stuart Armstrong,29,3,2,2,0,492,648,32,12,21.8,0,28,42,14,837,30,19,456,574,2018-2019
16,Marko Arnautović,28,10,4,3,0,490,667,61,31,17.5,3,9,7,4,848,36,20,498,681,2018-2019
17,Kepa Arrizabalaga,36,0,0,2,0,1011,1161,0,0,,0,1,2,1,1207,1,1,662,622,2018-2019
18,Harry Arter,25,0,1,10,0,539,680,23,4,23.6,0,62,46,33,886,7,3,294,412,2018-2019
19,Christian Atsu,28,1,0,2,0,328,435,28,14,19.6,0,24,16,13,636,52,25,380,426,2018-2019
20,Pierre-Emerick Aubameyang,36,22,5,0,0,524,744,89,34,14.2,0,21,28,26,1048,55,29,609,816,2018-2019
21,Serge Aurier,8,0,2,1,0,253,348,4,1,17.1,0,20,15,8,432,14,8,203,231,2018-2019
22,Charlie Austin,25,2,2,1,0,116,200,31,7,16.0,0,13,11,12,331,6,1,147,229,2018-2019
23,Jordan Ayew,20,1,2,3,0,207,283,27,3,14.6,0,38,20,16,485,26,11,273,325,2018-2019
24,Floyd Ayité,16,1,0,0,0,156,200,7,1,21.1,0,4,6,8,272,17,10,160,191,2018-2019
25,César Azpilicueta,38,1,5,4,0,2494,2950,17,7,15.4,0,105,67,63,3352,22,10,1605,2168,2018-2019
26,Ryan Babel,16,5,3,3,0,403,513,27,9,16.0,0,8,9,12,649,34,27,391,508,2018-2019
27,Juninho Bacuna,21,1,0,4,0,565,770,19,8,27.0,2,46,54,21,990,50,26,539,605,2018-2019
28,Leandro Bacuna,11,0,0,2,0,105,163,5,1,27.9,0,15,22,5,237,7,5,72,71,2018-2019
29,Eric Bailly,12,0,0,0,1,264,305,3,1,11.6,0,15,10,9,390,5,4,191,233,2018-2019
30,Leighton Baines,6,0,0,0,0,208,262,2,1,25.5,1,8,6,2,291,1,0,127,155,2018-2019
31,Fabián Balbuena,23,1,0,2,0,662,836,19,2,9.3,0,40,42,23,1157,1,1,485,589,2018-2019
32,Leon Balogun,8,1,0,2,0,168,222,1,1,13.3,0,12,9,5,300,1,0,117,148,2018-2019
33,Sol Bamba,28,4,1,7,0,385,559,22,7,9.7,0,74,55,72,1016,20,14,289,245,2018-2019
34,Phil Bardsley,19,0,0,9,0,526,783,12,1,26.4,0,32,21,25,990,8,4,334,405,2018-2019
35,Ross Barkley,27,3,5,1,0,877,971,41,9,19.9,1,15,14,8,1121,22,15,703,901,2018-2019
36,Ashley Barnes,37,12,2,8,0,308,534,63,28,14.7,0,28,29,29,874,13,7,432,638,2018-2019
37,Harvey Barnes,16,1,2,0,0,244,336,40,10,17.0,0,10,6,7,473,49,30,334,360,2018-2019
38,Antonio Barreca,1,0,0,0,0,1,3,0,0,,0,0,0,0,3,0,0,3,3,2018-2019
39,Michy Batshuayi,11,5,0,0,0,106,165,27,10,16.7,0,2,2,8,250,16,9,135,166,2018-2019
40,Jan Bednarek,25,0,1,7,0,607,888,5,1,7.5,0,41,37,44,1237,3,1,450,473,2018-2019
41,Asmir Begović,24,0,0,0,0,450,659,0,0,,0,0,3,1,718,0,0,349,210,2018-2019
42,Héctor Bellerín,19,0,5,3,0,794,958,18,4,18.5,0,15,13,17,1117,23,15,577,702,2018-2019
43,Joe Bennett,30,0,1,5,0,639,931,10,3,23.8,3,50,38,30,1227,34,24,384,432,2018-2019
44,Ryan Bennett,34,1,0,12,0,1090,1405,15,4,12.5,0,58,41,42,1733,4,3,721,973,2018-2019
45,Christian Benteke,16,1,1,1,0,136,241,26,8,11.9,0,5,4,7,354,8,5,153,279,2018-2019
46,Jóhann Berg Guðmundsson,29,3,6,2,0,397,620,33,9,20.0,7,27,34,25,868,40,16,454,476,2018-2019
47,Bernard,34,1,3,5,0,625,864,23,5,17.0,0,49,55,37,1180,82,40,754,797,2018-2019
