,Player Name,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SoT,distance,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
0,Patrick van Aanholt,29,3,2,0,0,1241,1595,26,5,21.7,3,43,50,31,1870,38,16,830,994,2019-2020
1,Max Aarons,36,0,1,7,0,1332,1711,14,4,17.2,0,48,36,46,2144,99,48,1259,1253,2019-2020
2,Tammy Abraham,34,15,3,2,0,275,418,88,35,11.6,0,8,14,20,722,35,16,333,479,2019-2020
3,Che Adams,30,4,2,0,0,162,263,36,9,15.2,0,6,4,9,418,25,18,232,298,2019-2020
4,Adrián,11,0,0,1,0,238,311,0,0,,0,1,1,0,331,0,0,193,152,2019-2020
5,Sergio Agüero,24,16,3,1,0,286,365,73,24,13.7,0,7,8,9,544,40,24,405,436,2019-2020
6,Albian Ajeti,9,0,0,0,0,12,15,3,0,15.7,0,1,0,0,28,2,0,17,22,2019-2020
7,Nathan Aké,29,2,2,2,0,1079,1238,25,7,10.3,0,31,23,40,1557,3,3,958,922,2019-2020
8,Marc Albrighton,20,0,3,2,0,339,499,10,2,20.7,0,24,30,19,618,33,14,393,423,2019-2020
9,Toby Alderweireld,33,2,2,7,0,1630,2009,16,4,12.6,0,40,24,48,2349,1,0,1460,1566,2019-2020
10,Trent Alexander-Arnold,38,4,13,5,0,2278,3230,44,13,22.6,13,55,78,27,3582,51,21,2136,2281,2019-2020
11,Alisson,29,0,1,0,1,820,947,0,0,,0,0,2,0,992,0,0,600,495,2019-2020
12,Dele Alli,25,8,4,2,0,632,841,41,18,14.9,0,34,37,35,1128,66,29,707,760,2019-2020
13,Miguel Almirón,36,4,2,5,0,681,884,56,17,16.2,0,60,52,25,1291,93,46,929,881,2019-2020
14,Marcos Alonso,18,4,2,4,0,916,1136,30,8,16.5,1,28,33,18,1341,19,12,787,833,2019-2020
15,Steven Alzate,19,0,0,1,0,556,661,13,3,18.3,0,33,27,18,831,47,35,456,545,2019-2020
16,Ibrahim Amadou,11,0,0,1,0,324,374,6,1,17.6,0,18,11,8,480,2,2,290,303,2019-2020
17,Felipe Anderson,25,1,4,1,0,727,945,23,8,17.1,0,46,47,19,1168,92,63,764,884,2019-2020
18,Florin Andone,3,1,0,0,1,7,12,1,1,7.8,0,1,1,1,34,7,2,19,17,2019-2020
19,Angeliño,6,0,0,1,0,333,429,5,0,19.8,0,5,7,1,478,5,4,333,338,2019-2020
20,Faustino Anjorin,1,0,0,0,0,7,7,1,0,31.8,0,0,0,1,12,2,1,8,8,2019-2020
21,Michail Antonio,24,10,3,3,0,329,524,67,30,13.7,0,13,14,17,818,103,65,494,599,2019-2020
22,Stuart Armstrong,30,5,3,4,0,464,616,46,20,21.2,0,32,38,22,889,53,30,470,544,2019-2020
23,Kepa Arrizabalaga,33,0,0,0,0,896,1095,0,0,,0,1,2,0,1138,0,0,672,644,2019-2020
24,Christian Atsu,19,0,3,2,0,167,218,5,1,19.1,0,10,14,19,333,36,16,217,209,2019-2020
25,Pierre-Emerick Aubameyang,36,22,3,3,1,614,912,91,40,15.5,2,31,51,39,1233,38,17,727,928,2019-2020
26,Serge Aurier,33,1,5,4,1,1263,1676,13,4,19.1,0,93,69,38,2078,64,39,1148,1144,2019-2020
27,Jordan Ayew,37,9,2,6,0,673,853,58,24,14.8,0,48,49,29,1300,117,73,801,950,2019-2020
28,César Azpilicueta,36,2,6,1,0,2317,2943,29,6,13.8,0,86,69,56,3347,21,12,1738,2152,2019-2020
29,Eric Bailly,4,0,0,0,0,70,78,0,0,,0,0,1,3,92,1,1,46,54,2019-2020
