,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Sh,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Rec,season
0,Patrick van Aanholt,22,0,1,2,0,906,1164,18,5,21.1,3,35,43,18,1353,22,10,728,800,2020-2021
1,Tammy Abraham,22,6,1,0,0,149,211,32,13,10.7,0,7,7,6,358,18,6,154,239,2020-2021
2,Che Adams,36,9,5,1,0,431,622,55,31,13.8,0,25,17,20,926,50,28,516,713,2020-2021
3,Tosin Adarabioyo,33,0,0,1,0,1647,1918,18,5,10.5,0,37,40,26,2272,14,11,1337,1522,2020-2021
4,Adrián,3,0,0,0,0,78,100,0,0,,0,0,0,0,110,0,0,52,47,2020-2021
5,Sergio Agüero,12,4,1,0,0,140,173,17,10,14.6,0,4,11,2,234,13,8,155,191,2020-2021
6,Ola Aina,31,2,1,3,0,1352,1769,14,4,24.6,1,37,43,22,2052,33,21,1070,1254,2020-2021
7,Rayan Aït Nouri,21,1,1,1,0,662,805,15,6,19.8,0,29,27,14,996,54,26,573,622,2020-2021
8,Semi Ajayi,33,2,0,3,1,719,999,13,4,9.8,0,40,41,51,1325,18,10,536,652,2020-2021
9,Nathan Aké,10,1,0,4,0,709,763,3,1,15.5,0,10,4,2,819,1,0,569,658,2020-2021
10,Marc Albrighton,31,1,5,2,0,627,933,21,9,21.2,0,33,45,29,1163,66,37,615,725,2020-2021
11,Thiago Alcántara,24,1,0,4,0,1545,1735,22,5,23.3,1,61,49,26,1946,48,33,1252,1475,2020-2021
12,Toby Alderweireld,25,1,0,2,0,1199,1453,10,3,8.5,0,35,30,40,1687,4,4,987,1114,2020-2021
13,Rúnar Alex Rúnarsson,1,0,0,0,0,7,11,0,0,,0,0,0,0,13,0,0,5,6,2020-2021
14,Trent Alexander-Arnold,36,2,7,2,0,2245,3015,55,12,24.9,18,56,56,24,3318,61,32,1992,2202,2020-2021
