,Player Name_x,MP,Gls,Ast,CRDY,CRDR,CMP,Att,Shot,SOT,Dist,FK,TKL,Dribbles,Blocks,Touches,Attp,Succ,Carries,Receiving,season
0,Max Aarons,34,0,2,8,0,1107,1469,13,2,19.9,0,64,55,39,1841,68,34,953,1030,2021-2022
1,Che Adams,30,7,3,0,0,304,472,49,24,13.3,0,13,16,18,712,35,20,394,537,2021-2022
2,Rayan Aït Nouri,23,1,2,4,0,763,1025,13,4,17.6,0,64,44,24,1293,81,42,659,736,2021-2022
3,Kristoffer Ajer,24,1,3,5,0,627,892,7,1,8.8,0,29,21,19,1101,18,13,488,530,2021-2022
4,Nathan Aké,14,2,0,0,0,796,878,5,2,7.3,0,16,8,7,956,2,0,677,741,2021-2022
5,Marc Albrighton,17,1,2,3,0,347,558,4,1,16.3,0,31,47,15,705,40,15,357,397,2021-2022
6,Thiago Alcántara,25,1,4,2,0,1340,1508,25,6,19.3,0,48,42,22,1700,32,20,1039,1279,2021-2022
7,Trent Alexander-Arnold,32,2,12,2,0,2039,2757,51,15,24.0,8,40,60,22,3036,39,19,1504,1897,2021-2022
8,Alisson,36,0,1,0,0,1214,1388,0,0,,0,3,5,1,1469,1,1,873,836,2021-2022
9,Allan,28,0,2,7,1,778,982,7,3,24.5,0,74,105,40,1259,31,21,650,672,2021-2022
10,Dele Alli,10,1,0,1,0,177,228,3,2,21.4,0,14,17,22,339,27,12,184,203,2021-2022
11,Dele Alli,11,0,0,3,0,114,157,3,0,19.4,0,7,4,7,225,14,5,108,132,2021-2022
12,Miguel Almirón,30,1,0,2,0,402,511,32,7,19.6,0,47,44,14,728,39,26,446,471,2021-2022
13,Marcos Alonso,28,4,4,8,0,1142,1486,43,10,18.7,9,41,36,29,1791,35,15,882,1037,2021-2022
14,Steven Alzate,9,0,0,0,0,204,233,1,1,16.1,0,10,7,2,292,8,6,148,177,2021-2022
15,Daniel Amartey,28,0,0,4,0,1399,1546,2,1,34.1,0,26,29,30,1752,7,6,1133,1278,2021-2022
16,Joachim Andersen,34,0,3,4,0,1911,2351,8,3,15.3,1,30,27,29,2614,9,7,1604,1865,2021-2022
17,Michail Antonio,36,10,8,8,1,438,702,82,27,14.9,0,23,18,19,1095,93,50,681,885,2021-2022
18,Cameron Archer,3,0,0,0,0,4,4,1,0,12.6,0,0,0,0,11,1,0,7,7,2021-2022
19,Alphonse Areola,1,0,0,0,0,21,40,0,0,,0,0,0,0,42,0,0,20,20,2021-2022
20,Adam Armstrong,23,2,2,1,0,229,324,47,14,17.2,0,10,6,13,493,42,16,287,335,2021-2022
21,Stuart Armstrong,25,2,0,1,0,590,744,38,9,20.5,0,27,23,10,946,54,27,595,661,2021-2022
22,Kepa Arrizabalaga,4,0,0,0,0,115,138,0,0,,0,0,0,0,146,0,0,101,80,2021-2022
23,Harrison Ashby,1,0,0,0,0,7,7,0,0,,0,0,0,1,9,0,0,5,6,2021-2022
24,Pierre-Emerick Aubameyang,14,4,1,3,0,137,208,33,16,15.0,0,11,10,12,319,7,2,142,220,2021-2022
25,Jordan Ayew,31,3,3,2,0,576,754,35,8,16.8,1,47,31,33,1087,71,34,696,779,2021-2022
26,Luke Ayling,26,2,2,4,1,1224,1592,19,3,13.0,0,74,97,46,1884,37,23,1002,1147,2021-2022
27,César Azpilicueta,27,1,2,3,0,1486,1787,11,4,14.7,0,51,35,32,2017,19,15,1098,1420,2021-2022
28,Daniel Bachmann,12,0,0,0,0,216,364,0,0,,0,0,0,0,401,1,1,214,148,2021-2022
29,Leon Bailey,18,1,2,3,0,150,226,21,8,19.4,4,17,13,10,348,29,13,232,244,2021-2022
30,Eric Bailly,4,0,0,1,0,68,85,0,0,,0,5,4,4,114,1,0,55,59,2021-2022
31,Folarin Balogun,2,0,0,0,0,4,9,3,0,14.4,0,1,0,1,22,2,0,8,14,2021-2022
32,Patrick Bamford,9,2,2,2,0,88,108,20,5,14.0,0,1,3,8,173,7,4,92,111,2021-2022
33,Shandon Baptiste,22,1,0,2,1,257,308,12,4,20.1,0,14,15,10,418,28,19,252,269,2021-2022
34,Ross Barkley,6,1,0,0,0,106,128,9,4,22.3,0,0,1,1,153,8,7,94,124,2021-2022
35,Ashley Barnes,23,1,0,4,0,122,198,15,5,17.3,0,11,9,8,302,8,5,139,224,2021-2022
36,Harvey Barnes,32,6,10,2,0,550,756,66,24,16.1,0,31,23,24,1052,75,31,732,834,2021-2022
