,Player Name_x,MP,Gls,Ast,CRDY,CRDR,Cmp,Att,shot,SoT,Dist,FK,TKL,Dribbles,Blocks,Touches,DAttp,Succ,Carries,Receiving,season
0,Brenden Aaronson,36,1,3,2,0,592,797,41,9,18.4,2,45,46,43,1143,100,34,686,767,2022-2023
1,George Abbott,1,0,0,0,0,1,1,0,0,,0,0,0,0,2,0,0,0,1,2022-2023
2,Che Adams,28,5,3,1,0,330,498,47,14,13.8,0,17,12,13,717,33,16,405,558,2022-2023
3,Tyler Adams,24,0,0,6,1,1108,1343,4,0,27.5,0,89,77,48,1628,22,7,818,919,2022-2023
4,Tosin Adarabioyo,25,1,0,4,0,1066,1300,16,4,21.2,1,30,23,20,1544,7,5,834,975,2022-2023
5,Nayef Aguerd,18,2,0,4,0,599,763,12,2,9.9,0,27,20,26,949,6,4,523,564,2022-2023
6,Naouirou Ahamada,8,0,0,1,0,37,46,3,0,15.9,0,3,3,2,63,2,1,32,39,2022-2023
7,Rayan Aït Nouri,21,1,0,4,0,470,578,10,5,14.1,0,33,15,3,740,50,28,395,454,2022-2023
8,Kristoffer Ajer,9,0,0,0,0,259,345,1,0,6.0,0,11,16,6,412,7,1,213,231,2022-2023
9,Manuel Akanji,29,0,1,2,0,1912,2056,15,2,15.9,0,36,36,27,2231,12,6,1544,1734,2022-2023
10,Nathan Aké,26,1,0,2,0,1639,1813,9,2,10.5,0,26,15,20,1959,5,3,1223,1492,2022-2023
11,Marc Albrighton,6,1,0,0,0,89,148,2,1,8.0,0,4,8,6,173,2,2,83,116,2022-2023
12,Thiago Alcántara,18,0,0,2,0,946,1097,10,1,24.1,0,43,23,15,1251,30,21,718,910,2022-2023
13,Carlos Alcaraz,18,4,2,3,0,222,290,24,10,20.0,0,10,22,14,430,28,13,258,296,2022-2023
14,Trent Alexander-Arnold,37,2,9,5,0,2188,2912,40,8,23.8,5,57,79,25,3180,45,30,1778,2042,2022-2023
15,Alisson,37,0,1,1,0,1241,1453,0,0,,0,0,3,3,1536,2,2,985,901,2022-2023
16,Dele Alli,2,0,0,0,0,12,15,0,0,,0,0,0,0,20,1,0,11,14,2022-2023
17,Miguel Almirón,34,11,2,2,0,811,982,69,20,16.4,0,46,42,25,1300,79,34,841,924,2022-2023
